"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"JUNEBRAIN, LLC","","United States","","","","","SBIR PHASE I: DEVELOPMENT OF A WEARABLE RETINAL IMAGING DEVICE FOR IMPROVED MONITORING OF MULTIPLE SCLEROSIS AT HOME","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Maryland", "","","","",""
"QSM DIAGNOSTICS INC.","","United States","","","","","SBIR PHASE I :POINT-OF-CARE TEST FOR IDENTIFYING GRAM-NEGATIVE URINARY TRACT INFECTIONS IN COMPANION ANIMALS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"APPIA LLC","","United States","","","","","SBIR PHASE I: DEVELOPMENT OF A NOVEL RUBBER RECYCLING PROCESS NOT INVOLVING DEVULCANIZATION","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"REALTIME ROBOTICS, INC.","","United States","","","","","SBIR PHASE I: RISK-AWARE MOTION PLANNING FOR AUTONOMOUS VEHICLES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"INKBIT LLC","","United States","","","","","SBIR PHASE I: MULTI-MATERIAL 3D PRINTING OF PERSONALIZED MEDICAL SIMULATION MODELS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"KNIPBIO, INC","","United States","","","","","SBIR PHASE I: NOVEL IMMUNO-NUTRITION PROPERTIES OF A SINGLE CELL PROTEIN TO ABATE SOY-INDUCED ENTERITIS IN AQUAFEEDS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"COASTALOCEANVISION, INC","","United States","","","","","SBIR PHASE I: REAL-TIME ASSESSMENT OF WATER QUALITY, HARMFUL ALGAL BLOOMS, AND TOXINS FROM DISTRIBUTED, NETWORKED SENSOR ARRAYS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"JOULEZ INC.","","United States","","","","","SBIR PHASE I: AN INTERNET OF THINGS EDUCATION SYSTEM DESIGNED TO INCREASE THE PARTICIPATION OF WOMEN IN STEM CAREERS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"TRANSAERA, INC.","","United States","","","","","SBIR PHASE I: USING METAL-ORGANIC FRAMEWORK MATERIALS TO INCREASE SUSTAINABILITY OF INDOOR FARMING","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"FLASKWORKS, LLC","","United States","","","","","SBIR PHASE I: AUTOMATED CLOSED SYSTEMS FOR MANUFACTURING AUTOLOGOUS DENDRITIC CELL THERAPIES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"LEADING EDGE CRYSTAL TECHNOLOGIES, INC.","","United States","","","","","SBIR PHASE I: REFINEMENT OF THE FLOATING SILICON METHOD TO PRODUCE DROP-IN SILICON WAFERS FOR HIGH EFFICIENCY SOLAR CELLS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"AUTOMATED CONTROVERSY DETECTION, LLC","","United States","","","","","SBIR PHASE I: A CONTROVERSY DETECTION SIGNAL FOR FINANCE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"ONECYTE BIOTECHNOLOGIES, INC.","","United States","","","","","SBIR PHASE I: A HIGH THROUGHPUT MICROFLUIDICS PLATFORM TO MEASURE SECRETION FROM SINGLE CELLS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"ACLARITY LLC","","United States","","","","","SBIR PHASE I: PERFORMANCE AND FEASIBILITY EVALUATION OF ELECTROCHEMICAL ADVANCED OXIDATION TECHNOLOGY FOR WATER PURIFICATION","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"ILANS, INC.","","United States","","","","","SBIR PHASE I: SEEINGBUS: IMPROVING PUBLIC TRANSPORTATION SERVICES FOR THE BLIND","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Michigan", "","","","",""
"R H K TECHNOLOGY, INC.","","United States","","","","","STTR PHASE I: SMART AND FAST ATOMIC FORCE MICROSCOPE FOR IMAGING AND CHARACTERIZATION","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Michigan", "","","","",""
"BERD L. L. C.","","United States","","","","","SBIR PHASE I: ADVANCED MANUFACTURING OF ULTRA HIGH MOLECULAR WEIGHT POLYETHYLENE AND METAL HYBRID STRUCTURES FOR BICYCLE SPOKES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Minnesota", "","","","",""
"AWARE VEHICLES, INC.","","United States","","","","","SBIR PHASE I: SITUATIONAL AWARENESS IN AUTONOMOUS AGRICULTURE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Missouri", "","","","",""
"NANOPORE DIAGNOSTICS, LLC","","United States","","","","","SBIR PHASE I: A HANDHELD SENSOR FOR SEAFOOD IDENTIFICATION","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Missouri", "","","","",""
"GENETIC INTELLIGENCE","","United States","","","","","SBIR PHASE I: PLATFORM TO ELUCIDATE THE CAUSAL MUTATIONS BEHIND HUMAN INHERITED DISEASES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","New York", "","","","",""
"ENERMAT TECHNOLOGIES, INC.","","United States","","","","","STTR PHASE I: MANGANESE OXIDE-CARBON NANOSHEET ANODES FOR EXTREME HIGH POWER LITHIUM ION BATTERIES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","New York", "","","","",""
"KEPLEY BIOSYSTEMS INCORPORATED","","United States","","","","","SBIR PHASE I: A NOVEL HORSESHOE CRAB DEVICE AND APPROACH FOR A SUSTAINABLE ENDOTOXIN TESTING RESOURCE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","North Carolina", "","","","",""
"LUMEDICA, INC","","United States","","","","","SBIR PHASE I: EXTENDED DEPTH IMAGING WITH OCT","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","North Carolina", "","","","",""
"DRAKEFORD SCOTT & ASSOCIATES","","United States","","","","","SBIR PHASE I: ONLINE CURRICULUM FOR CREATING PURPOSE-DRIVEN START-UPS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","North Carolina", "","","","",""
"FUNXION WEAR, INC.","","United States","","","","","SBIR PHASE I: DIRECT-WRITE PRINTED ELECTRONICS ON TEXTILES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","North Carolina", "","","","",""
"TERAPROBES INC","","United States","","","","","SBIR PHASE I: FULLY-AUTOMATED NON-CONTACT PROBE SYSTEM FOR ON-WAFER MILLIMETERWAVE AND THZ ELECTRONICS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Ohio", "","","","",""
"ONCOSOLUTIONS LLC","","United States","","","","","SBIR PHASE I: 3D TUMOR MODEL MICROTECHNOLOGY FOR HIGH THROUGHPUT DRUG SCREENING","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Ohio", "","","","",""
"POLYLUX LLC","","United States","","","","","SBIR PHASE I: AURAPEEL - ON-DEMAND LIGHT SWITCHABLE ADHESIVES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Ohio", "","","","",""
"GADUSOL LABORATORIES INC","","United States","","","","","SBIR PHASE I: PRODUCTION OF NATURAL SUN-PROTECTIVE COMPOUNDS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Oregon", "","","","",""
"APO TECHNOLOGIES, INC.","","United States","","","","","SBIR PHASE I: INTEGRATING ALIGNMENT ANGLE SENSORS INTO LIMB PROSTHESIS STANDARD COMPONENTRY","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Pennsylvania", "","","","",""
"NGS DETECTORS LLC","","United States","","","","","SBIR PHASE I: THE TRANSFORMATION OF X-RAY DETECTORS FOR MEDICAL IMAGING","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Rhode Island", "","","","",""
"SENTINEL ENVIRONMENTAL GROUP, LLC","","United States","","","","","SBIR PHASE I: POLYVALENT BACTERIOPHAGES AS LIVESTOCK FEED ADDITIVES AND ALTERNATIVES TO ANTIBIOTICS FOR PATHOGEN CONTROL AND IMPROVED ANIMAL PERFORMANCE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Texas", "","","","",""
"BAONANO, LLC","","United States","","","","","STTR PHASE I: AC-SUPERCAPACITORS FOR POWER APPLICATIONS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Texas", "","","","",""
"SABER CORPORATION","","United States","","","","","SBIR PHASE I: LIGHT EMITTING ANTIMICROBIAL BANDAGE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Texas", "","","","",""
"FLASHSCAN3D, LLC","","United States","","","","","SBIR PHASE I: EVALUATION OF THE USE OF A CONTACTLESS, THREE-DIMENSIONAL SCANNER FOR THE COLLECTION OF VARIOUS FINGERPRINT IMPRESSIONS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Texas", "","","","",""
"REFLODX, LLC","","United States","","","","","SBIR PHASE I: NOVEL DEVICE FOR DETECTING CHANGES IN THE ESOPHAGEAL LUMEN USING SINGLE POINT ULTRASONIC TRANSDUCERS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Utah", "","","","",""
"SHARPEYES, LLC","","United States","","","","","SBIR PHASE I: TUNABLE LENSES FOR SMART EYEGLASSES WITH LOW-DRIFT AND LIGHT-WEIGHT","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Utah", "","","","",""
"SARMA, SRIDEVI","","United States","","","","","SBIR PHASE I: A NOVEL ANALYTICAL TOOL TO LOCALIZE THE EPILEPTOGENIC ZONE IN MEDICALLY-REFRACTORY EPILEPSY","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Virginia", "","","","",""
"HEALTH NETWORK RESEARCH GROUP LLC","","United States","","","","","STTR PHASE I: ACCELERATING THE DISSEMINATION OF HEALTHCARE INTERVENTIONS THAT IMPROVE CARE FOR HIGH-NEED/HIGH-COST PATIENTS","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Virginia", "","","","",""
"A-ALPHA BIO, INC.","","United States","","","","","SBIR PHASE I: DEVELOPING A PLATFORM FOR MULTIPLEXED DRUG PROFILING USING YEAST SYNTHETIC AGGLUTINATION","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"XFLOW ENERGY COMPANY","","United States","","","","","SBIR PHASE I: LOWERING WIND POWER COSTS THROUGH ROBUST VERTICAL-AXIS TURBINES","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"EARSHOT LLC","","United States","","","","","SBIR PHASE I: CLOUD-BASED VOICE ANALYSIS AND MACHINE LEARNING TO IMPROVE TEACHING WITH DATA","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"ARMAMENTS RESEARCH COMPANY LLC","","United States","","","","","SBIR PHASE I: IOT SYSTEM FOR SMALL ARMS DETECTION AND RESPONSE","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"4TH-PHASE INC","","United States","","","","","SBIR PHASE I: 4TH-PHASE WATER TECHNOLOGY","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"CELL REPROGRAMMING & THERAPEUTICS LLC","","United States","","","","","SBIR PHASE I: GENERATION OF DOPAMINERGIC NEURONS FROM FAT","","2018","$225,000","$0","$225,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Wisconsin", "","","","",""
"AMERICAN SOCIETY FOR ENGINEERING EDUCATION","","United States","","","","","ERC HISTORY PROJECT: PHASE TWO","","2018","$291,558","$0","$291,558","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","District of Columbia", "","","","",""
"NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE, INC.","","United States","","","","","EAGER: FACILITATING INTERNATIONAL COLLABORATION TO ADVANCE ENGINEERING RESEARCH","","2018","$299,994","$0","$299,994","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"MASSACHUSETTS GENERAL HOSPITAL, THE","","United States","","","","","COLLABORATIVE PROPOSAL: UNDERSTANDING MOTOR CORTICAL ORGANIZATION THROUGH ENGINEERING INNOVATION TO TMS-BASED BRAIN MAPPING","","2018","$300,000","$0","$300,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","","United States","","","","","INTER-COMPARISON OF DIRECT QUANTIFICATION AND AREAL MICROMETEOROLOGICAL METHODS TO INVESTIGATE THE TRANSPORT AND FATE OF METHANE FROM HETEROGENEOUS SOURCES IN NATURAL GAS FIELDS","","2018","$321,788","$0","$321,788","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","West Virginia", "","","","",""
"FRED HUTCHINSON CANCER RESEARCH CENTER","","United States","","","","","CAREER: DEVELOPMENT OF DNA NANOCARRIERS TO REDIRECT IMMUNE CELLS TOWARD CHOSEN TARGETS","","2018","$504,492","$0","$504,492","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"MICROHAOPS, INC.","","United States","","","","","SBIR PHASE II: FURTHER DEVELOPMENT OF THE HAOPS WATER TREATMENT PROCESS FOR MEMBRANE PRETREATMENT AND PHOSPHORUS RECOVERY FROM WASTEWATER","","2018","$571,117","$0","$571,117","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"INNOBLATIVE DESIGNS, INC.","","United States","","","","","STTR PHASE II: AUTOMATED SYSTEM FOR CREATING CUSTOM THREE-DIMENSIONAL RADIOFREQUENCY ABLATION LESION GEOMETRIES IN POST-LUMPECTOMY MARGIN ABLATION BREAST CANCER TREATMENT","","2018","$583,417","$0","$583,417","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"JKM TECHNOLOGIES, LLC","","United States","","","","","SBIR PHASE II: PELLET BASED 3D PRINT EXTRUSION PROCESS FOR SHOE MANUFACTURING","","2018","$598,999","$0","$598,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Virginia", "","","","",""
"GLYSCEND INC","","United States","","","","","SBIR PHASE II: ORALLY-DOSED INTESTINAL COATING FOR THE TREATMENT OF TYPE 2 DIABETES INSPIRED FROM BARIATRIC SURGERY","","2018","$599,999","$0","$599,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Maryland", "","","","",""
"PROVIVI, INC.","","United States","","","","","STTR PHASE II: ENZYMATIC SYNTHESIS OF CHIRAL CYCLOPROPANES FOR PHARMACEUTICAL DRUG SYNTHESIS AND AGRICULTURAL CROP PROTECTION APPLICATIONS","","2018","$600,000","$0","$600,000","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"STOCASTIC, LLC","","United States","","","","","SBIR PHASE II: DATA-DRIVEN DECISION SUPPORT FOR EFFICIENT PATIENT PROGRESSION","","2018","$609,985","$0","$609,985","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Maryland", "","","","",""
"KNOX MEDICAL DIAGNOSTICS INC","","United States","","","","","STTR PHASE II: USER-FRIENDLY SPIROMETER AND MOBILE APP FOR SELF-MANAGEMENT AND HOME MONITORING OF ASTHMA PATIENTS","","2018","$609,999","$0","$609,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"VINSENSE, LLC","","United States","","","","","SBIR PHASE II: VISUAL INFORMATION ENVIRONMENT FOR EFFECTIVE AGRICULTURAL MANAGEMENT AND SUSTAINABILITY","","2018","$617,153","$0","$617,153","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Indiana", "","","","",""
"BETA HATCH INC.","","United States","","","","","SBIR PHASE II: SCALABLE INSECT FARMING FOR AGRICULTURE","","2018","$630,632","$0","$630,632","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"GENERAL PROBIOTICS INC","","United States","","","","","SBIR PHASE II: NEW ANTIMICROBIAL TECHNOLOGIES TO ELIMINATE SALMONELLA CARRIAGE IN POULTRY","","2018","$662,069","$0","$662,069","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Minnesota", "","","","",""
"VECARIUS, INC.","","United States","","","","","SBIR PHASE II: HIGH EFFICIENCY, COMPACT THERMOELECTRIC GENERATOR (TEG)","","2018","$668,220","$0","$668,220","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"BATTERY RESOURCERS LLC","","United States","","","","","SBIR PHASE II: A CLOSED LOOP PROCESS FOR THE RECYCLE OF END-OF-LIFE LI-ION BATTERIES","","2018","$669,913","$0","$669,913","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"PATIENTSVOICES, LLC","","United States","","","","","SBIR PHASE II: SOFTWARE FOR DEVELOPING CONSUMER-DRIVEN HEALTH CARE SOLUTIONS","","2018","$691,183","$0","$691,183","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Missouri", "","","","",""
"READ, ASK, CHAT, LTD.","","United States","","","","","SBIR PHASE II: TESTING AND OPTIMIZING DIGITAL TOOLS AIMED AT PROMOTING PARENT/CAREGIVER-MEDIATED DIALOGIC READING FROM INFANCY TO KINDERGARTEN ENTRY AND THROUGH FIRST GRADE","","2018","$692,387","$0","$692,387","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"MICRO-LEADS, INC.","","United States","","","","","SBIR PHASE II: A PRECISION, HIGH-DENSITY STIMULATION ELECTRODE FOR LOW-BACK PAIN RELIEF","","2018","$694,115","$0","$694,115","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"ACCELEVIR DIAGNOSTICS, LLC","","United States","","","","","SBIR PHASE II: DEVELOPMENT AND OPTIMIZATION OF A NEW MOLECULAR TEST TO QUANTIFY LATENT HIV-1 IN SAMPLES FROM HIV-1 INFECTED INDIVIDUALS.","","2018","$699,981","$0","$699,981","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Maryland", "","","","",""
"DILIGENT DROIDS, LLC","","United States","","","","","SBIR PHASE II: MOBILE MANIPULATION HOSPITAL SERVICE ROBOTS","","2018","$699,985","$0","$699,985","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Texas", "","","","",""
"PRENOSIS, INC.","","United States","","","","","SBIR PHASE II: POINT OF CARE DEVICE FOR HIGH FREQUENCY STRATIFICATION OF PATIENT POPULATIONS AT RISK OF SEPSIS","","2018","$704,525","$0","$704,525","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"KW ASSOCIATES LLC","","United States","","","","","SBIR PHASE II: VACUUM ARC CONTROL USING ARC POSITION SENSING AND INDUCED MAGNETIC FIELDS","","2018","$704,537","$0","$704,537","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Oregon", "","","","",""
"ANCATT INC.","","United States","","","","","SBIR PHASE II: POLYANILINE EPOXY PRIMER WITH RELATED TOPCOAT: THE ANTICORROSION COATING SYSTEM OF A BARRIER TO CATIONS WITH A BARRIER TO ANIONS","","2018","$704,730","$0","$704,730","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Delaware", "","","","",""
"SQUID BOOKS, LLC","","United States","","","","","SBIR PHASE II: AN INTERACTIVE DIGITAL TEXTBOOK THAT SUPPORTS EARTH SCIENCE LEARNING","","2018","$707,342","$0","$707,342","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"SIPPA SOLUTIONS LLC","","United States","","","","","STTR PHASE II: SELF-HEALTH MANAGEMENT INFORMATICS PLATFORM: IMPROVING PATIENT ENGAGEMENT IN CARE DELIVERY","","2018","$711,189","$0","$711,189","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","New York", "","","","",""
"DMC BIOTECHNOLOGIES, INC.","","United States","","","","","SBIR PHASE II: COMMERCIALIZATION OF SYNTHETIC METABOLIC VALVES","","2018","$719,999","$0","$719,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Colorado", "","","","",""
"MANUS BIOSYNTHESIS, INC.","","United States","","","","","SBIR PHASE II: DEVELOPMENT OF A LOW-COST PRODUCTION PLATFORM THROUGH ENGINEERED BACTERIA FOR A NOVEL NATURAL ACARICIDE.","","2018","$719,999","$0","$719,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
